Snötyp:,Snötemperatur:,Valla (Label)
0,6.0,0
0,5.9,0
0,5.8,0
0,5.7,0
0,5.6,0
0,5.5,0
0,5.4,0
0,5.3,0
0,5.2,0
0,5.1,0
0,5.0,0
0,4.9,0
0,4.8,0
0,4.7,0
0,4.6,0
0,4.50000000000001,0
0,4.40000000000001,0
0,4.30000000000001,0
0,4.20000000000001,0
0,4.10000000000001,0
0,4.00000000000001,0
0,3.90000000000001,0
0,3.80000000000001,0
0,3.70000000000001,0
0,3.60000000000001,0
0,3.50000000000001,0
0,3.40000000000001,0
0,3.30000000000001,0
0,3.20000000000001,0
0,3.10000000000001,0
0,3.00000000000001,0
0,2.90000000000001,0
0,2.80000000000001,0
0,2.70000000000001,0
0,2.60000000000001,0
0,2.50000000000001,0
0,2.40000000000001,0
0,2.30000000000001,0
0,2.20000000000001,0
0,2.10000000000001,0
0,2.00000000000001,0
0,1.90000000000001,0
0,1.80000000000001,0
0,1.70000000000002,0
0,1.60000000000002,0
0,1.50000000000002,0
0,1.40000000000002,0
0,1.30000000000002,0
0,1.20000000000002,0
0,1.10000000000002,0
0,1.00000000000002,0
0,0.90000000000002,0
0,0.80000000000002,0
0,0.70000000000002,0
0,0.60000000000002,0
0,0.50000000000002,0
0,0.40000000000002,0
0,0.30000000000002,0
0,0.20000000000002,0
0,0.10000000000002,0
0,0.0,0
0,-0.0999999999999801,0
0,-0.19999999999998,0
0,-0.29999999999998,0
0,-0.39999999999998,0
0,-0.49999999999998,0
0,-0.59999999999998,0
0,-0.69999999999998,0
0,-0.79999999999998,0
0,-0.89999999999998,0
0,-0.99999999999998,1
0,-1.09999999999997,1
0,-1.19999999999997,1
0,-1.29999999999997,1
0,-1.39999999999997,1
0,-1.49999999999997,1
0,-1.59999999999997,1
0,-1.69999999999997,1
0,-1.79999999999997,1
0,-1.89999999999997,1
0,-1.99999999999997,1
0,-2.09999999999997,1
0,-2.19999999999997,1
0,-2.29999999999997,1
0,-2.39999999999997,1
0,-2.49999999999997,1
0,-2.59999999999997,1
0,-2.69999999999997,1
0,-2.79999999999997,1
0,-2.89999999999997,1
